,question,answer,multiple_answer,can_answer
0,"The genre of ""Weird Al"" Yankovic is?","['comedy', 'parody']",True,
1,The language of (I Can't Get No) Satisfaction is?,English,False,True
2,The country of 11 de marzo de 2004 is?,Spain,False,False
3,The country of 15 July Martyrs Bridge is?,Turkey,False,True
4,The country of 1755 Lisbon earthquake is?,Portugal,False,True
5,The country of 1912 Summer Olympics is?,Sweden,False,True
6,The country of 1924 Summer Olympics is?,France,False,True
7,The country of 1956 Summer Olympics is?,Australia,False,True
8,The country of 1956 Winter Olympics is?,Italy,False,True
9,The country of 1960 Summer Olympics is?,Italy,False,True
10,The country of 1968 Olympics Black Power salute is?,Mexico,False,True
11,The country of 1972 Summer Olympics is?,Germany,False,True
12,The country of 1976 Summer Olympics is?,Canada,False,True
13,The language of 1984 is?,English,False,False
14,The country of 2000 Summer Olympics is?,Australia,False,True
15,The country of 2002 Bali bombings is?,Indonesia,False,True
16,The country of 2004 Summer Olympics is?,Greece,False,True
17,The country of 2005 Cronulla riots is?,Australia,False,True
18,The country of 2006 Lebanon War is?,Israel,False,True
19,The country of 2010 Winter Olympics is?,Canada,False,True
20,The country of 2011 Tōhoku earthquake and tsunami is?,Japan,False,True
21,The country of 2012 Benghazi attack is?,Libya,False,True
22,The country of 2014 Winter Olympics is?,Russia,False,True
23,The country of 2016 Summer Olympics is?,Brazil,False,True
24,The country of 2016 Turkish coup d'état attempt is?,Turkey,False,True
25,The country of 2019–20 Persian Gulf crisis is?,"['Iraq', 'Iran']",True,
26,The country of 2020 Baghdad International Airport airstrike is?,Iraq,False,True
27,The country of 24 Hours of Le Mans is?,France,False,True
28,The country of 26/11 Mumbai attacks is?,India,False,True
29,The language of 30 Rock is?,English,False,False
30,The original broadcaster of 30 Rock is?,NBC,False,True
31,The language of 30 Rock is?,English,False,False
32,The native language of 50 Cent is?,English,False,True
33,The language of 60 Minutes is?,English,False,True
34,The original broadcaster of 60 Minutes is?,CBS,False,True
35,The language of 60 Minutes is?,English,False,True
36,The historic county of 7 July 2005 London bombings is?,Middlesex,False,False
37,875 North Michigan Avenue is located in?,Chicago,False,True
38,The original country of 8½ is?,"['Italy', 'France']",True,
39,The language of 8½ is?,"['Italian', 'English']",True,
40,The language of A Brief History of Time is?,English,False,True
41,The language of A Coney Island of the Mind is?,English,False,True
42,The language of A Confederacy of Dunces is?,English,False,True
43,The language of A Connecticut Yankee in King Arthur's Court is?,English,False,True
44,The country of A Coruña is?,Spain,False,True
45,The language of A Country Practice is?,English,False,True
